time;codice;risposta
13:09:46.197;G1 X76.176 Y123.387 E29.12268;ok
13:09:46.279;G1 X73.873 Y121.852 E29.20484;ok
13:09:46.363;G1 X72.510 Y120.694 E29.25796;ok
13:09:46.452;M105;ok T:219.4 /220.0 B:70.1 /70.0 T0:219.4 /220.0 @:51 B@:57
13:09:46.512;G1 X69.557 Y117.781 E29.38113;ok
13:09:46.651;G1 X68.267 Y116.288 E29.43971;ok
13:09:46.656;G1 X66.997 Y114.446 E29.50611;ok
13:09:46.716;G1 X65.787 Y112.306 E29.57914;ok
13:09:46.791;G1 X64.860 Y110.214 E29.64705;ok
13:09:46.871;G1 X63.624 Y106.206 E29.77159;ok
13:09:46.949;G1 X63.251 Y104.645 E29.81925;ok
13:09:47.143;G1 X62.942 Y102.276 E29.89018;ok
13:09:47.227;G1 X62.839 Y99.581 E29.97026;ok
13:09:47.227;G1 X63.005 Y96.966 E30.04806;ok
13:09:47.313;G1 X63.373 Y94.728 E30.11540;ok
13:09:47.404;G1 X64.547 Y90.618 E30.24229;ok
13:09:47.478;G1 X65.372 Y88.531 E30.30894;ok
13:09:47.619;M105;ok T:219.4 /220.0 B:70.2 /70.0 T0:219.4 /220.0 @:52 B@:32
13:09:47.695;G1 X66.603 Y86.193 E30.38737;ok
13:09:47.784;G1 X68.133 Y83.892 E30.46942;ok
13:09:47.789;G1 X69.289 Y82.527 E30.52254;ok
13:09:47.876;G1 X72.014 Y79.762 E30.63781;ok
13:09:47.935;M204 S1000;ok
13:09:47.935;G1 E20.63781 F4800.000;ok
13:09:48.073;G92 E0;ok
13:09:48.073;G1 Z0.400 F9000.000;ok
13:09:48.139;G1 X73.879 Y78.590;ok
13:09:48.139;G1 Z0.200;ok
13:09:48.215;G1 E10.00000 F3600.000;ok
13:09:48.215;M204 S500;ok
13:09:48.300;G1 F1800.000;ok
13:09:48.372;G1 X75.683 Y77.336 E10.06522;ok
13:09:48.567;G1 X77.691 Y76.188 E10.13390;ok
13:09:48.643;M105;ok T:220.1 /220.0 B:70.2 /70.0 T0:220.1 /220.0 @:40 B@:34
13:09:48.648;G1 X79.806 Y75.234 E10.20281;ok
13:09:48.737;G1 X83.837 Y73.983 E10.32809;ok
13:09:48.742;G1 X85.301 Y73.625 E10.37286;ok
13:09:48.824;G1 X87.615 Y73.310 E10.44221;ok
13:09:48.900;G1 X90.120 Y73.195 E10.51664;ok
13:09:49.041;G1 X92.843 Y73.344 E10.59764;ok
13:09:49.117;G1 X95.083 Y73.697 E10.66496;ok
13:09:49.206;G1 X99.227 Y74.873 E10.79284;ok
13:09:49.298;G1 X101.274 Y75.676 E10.85812;ok
13:09:49.358;G1 X103.522 Y76.849 E10.93342;ok
13:09:49.503;G1 X105.848 Y78.386 E11.01621;ok
13:09:49.740;M105;ok T:220.0 /220.0 B:70.2 /70.0 T0:220.0 /220.0 @:44 B@:35
13:09:49.857;G1 X107.185 Y79.516 E11.06817;ok
13:09:49.933;G1 X110.126 Y82.406 E11.19061;ok
13:09:49.938;G1 X111.422 Y83.893 E11.24918;ok
13:09:50.052;G1 X112.677 Y85.706 E11.31465;ok
13:09:50.282;G1 X113.858 Y87.781 E11.38551;ok
13:09:50.376;G1 X114.797 Y89.889 E11.45404;ok
13:09:50.454;G1 X116.029 Y93.886 E11.57823;ok
13:09:50.532;G1 X116.394 Y95.411 E11.62479;ok
13:09:50.672;G1 X116.695 Y97.695 E11.69320;ok
13:09:50.722;G1 X116.803 Y100.420 E11.77417;ok
13:09:50.802;M105;ok T:220.0 /220.0 B:70.2 /70.0 T0:220.0 /220.0 @:45 B@:31
13:09:50.884;G1 X116.628 Y103.100 E11.85391;ok
13:09:50.978;G1 X116.271 Y105.221 E11.91778;ok
13:09:50.981;G1 X115.106 Y109.294 E12.04356;ok
13:09:51.052;G1 X114.273 Y111.384 E12.11034;ok
13:09:51.195;G1 X113.036 Y113.713 E12.18866;ok
13:09:51.269;G1 X111.551 Y115.933 E12.26796;ok
13:09:51.353;G1 X110.423 Y117.258 E12.31963;ok
13:09:51.447;G1 X107.527 Y120.192 E12.44201;ok
13:09:51.506;G1 X106.057 Y121.460 E12.49968;ok
13:09:51.643;G1 X104.249 Y122.703 E12.56480;ok
13:09:51.707;G1 X102.191 Y123.871 E12.63507;ok
13:09:51.782;G1 X100.081 Y124.808 E12.70361;ok
13:09:51.863;G1 X96.104 Y126.032 E12.82716;ok
13:09:51.940;M105;ok T:219.8 /220.0 B:70.3 /70.0 T0:219.8 /220.0 @:49 B@:18
13:09:52.079;G1 X94.579 Y126.396 E12.87372;ok
13:09:52.131;G1 X92.185 Y126.705 E12.94538;ok
13:09:52.210;G1 X89.579 Y126.803 E13.02281;ok
13:09:52.210;G1 X86.902 Y126.629 E13.10247;ok
13:09:52.300;G1 X84.794 Y126.275 E13.16595;ok
13:09:52.389;G1 X80.713 Y125.109 E13.29195;ok
13:09:52.482;G1 X78.652 Y124.290 E13.35780;ok
13:09:52.602;G1 X76.349 Y123.074 E13.43513;ok
13:09:52.678;G1 X74.083 Y121.563 E13.51600;ok
13:09:52.766;G1 X72.750 Y120.429 E13.56796;ok
13:09:52.855;G1 X69.810 Y117.529 E13.69056;ok
13:09:52.913;G1 X68.541 Y116.059 E13.74823;ok
13:09:53.051;M105;ok T:219.1 /220.0 B:70.2 /70.0 T0:219.1 /220.0 @:63 B@:30
13:09:53.115;G1 X67.294 Y114.247 E13.81354;ok
13:09:53.190;G1 X66.105 Y112.145 E13.88525;ok
13:09:53.197;G1 X65.193 Y110.084 E13.95218;ok
13:09:53.267;G1 X63.966 Y106.105 E14.07579;ok
13:09:53.346;G1 X63.602 Y104.580 E14.12235;ok
13:09:53.483;G1 X63.299 Y102.253 E14.19201;ok
13:09:53.536;G1 X63.197 Y99.583 E14.27136;ok
13:09:53.616;G1 X63.359 Y97.012 E14.34784;ok
13:09:53.704;G1 X63.722 Y94.804 E14.41429;ok
13:09:53.794;G1 X64.888 Y90.723 E14.54030;ok
13:09:53.867;G1 X65.701 Y88.670 E14.60585;ok
13:09:54.007;M73 P4 R14;ok
13:09:54.007;M73 Q4 S14;ok
13:09:54.080;M105;ok T:220.9 /220.0 B:70.2 /70.0 T0:220.9 /220.0 @:30 B@:34
13:09:54.168;G1 X66.915 Y86.366 E14.68319;ok
13:09:54.169;G1 X68.422 Y84.101 E14.76395;ok
13:09:54.174;G1 X69.554 Y82.767 E14.81592;ok
13:09:54.259;G1 X72.407 Y79.872 E14.93658;ok
13:09:54.317;G1 X73.839 Y78.624 E14.99299;ok
13:09:54.455;M204 S1000;ok
13:09:54.519;G1 X74.074 Y78.893 F9000.000;ok
13:09:54.519;M204 S500;ok
13:09:54.595;G1 F1800.000;ok
13:09:54.595;G1 X75.874 Y77.638 E15.05815;ok
13:09:54.675;G1 X77.858 Y76.503 E15.12602;ok
13:09:54.747;G1 X79.937 Y75.566 E15.19373;ok
13:09:54.751;G1 X83.938 Y74.326 E15.31809;ok
13:09:54.889;G1 X85.367 Y73.976 E15.36178;ok
13:09:54.940;G1 X87.650 Y73.665 E15.43017;ok
13:09:55.020;G1 X90.120 Y73.552 E15.50360;ok
13:09:55.108;M105;ok T:219.7 /220.0 B:70.3 /70.0 T0:219.7 /220.0 @:54 B@:14
13:09:55.108;G1 X92.809 Y73.699 E15.58355;ok
13:09:55.194;G1 X95.018 Y74.049 E15.64997;ok
13:09:55.276;G1 X99.123 Y75.214 E15.77665;ok
13:09:55.411;G1 X101.134 Y76.005 E15.84083;ok
13:09:55.484;G1 X103.345 Y77.160 E15.91487;ok
13:09:55.572;G1 X105.647 Y78.682 E15.99681;ok
