time;codice;risposta
19:41:32.026;G1 X116.661 Y96.237 E27.24297;ok
19:41:32.090;G1 X116.670 Y102.793 E27.43762;ok
19:41:32.154;G1 X116.585 Y104.471 E27.48751;ok
19:41:32.214;G1 X116.340 Y106.143 E27.53770;ok
19:41:32.272;G1 X115.810 Y108.205 E27.60089;ok
19:41:32.505;M105;ok T:218.9 /220.0 B:70.0 /70.0 T0:218.9 /220.0 @:57 B@:77
19:41:32.592;G1 X115.037 Y110.188 E27.66409;ok
19:41:32.679;G1 X112.372 Y115.326 E27.83595;ok
19:41:32.684;G1 X111.362 Y116.971 E27.89327;ok
19:41:32.795;G1 X109.818 Y118.902 E27.96667;ok
19:41:32.927;G1 X107.499 Y121.171 E28.06299;ok
19:41:33.002;G1 X105.975 Y122.439 E28.12186;ok
19:41:33.075;G1 X104.321 Y123.530 E28.18072;ok
19:41:33.243;G1 X102.488 Y124.461 E28.24174;ok
19:41:33.301;G1 X100.571 Y125.172 E28.30246;ok
19:41:33.376;G1 X97.044 Y126.012 E28.41008;ok
19:41:33.488;M105;ok T:220.3 /220.0 B:70.1 /70.0 T0:220.3 /220.0 @:34 B@:59
19:41:33.553;G1 X95.324 Y126.291 E28.46182;ok
19:41:33.625;G1 X92.082 Y126.459 E28.55823;ok
19:41:33.633;G1 X87.625 Y126.449 E28.69057;ok
19:41:33.712;M73 P1 R45;ok
19:41:33.712;M73 Q1 S45;ok
19:41:33.931;G1 X84.245 Y126.301 E28.79100;ok
19:41:33.988;G1 X82.229 Y126.026 E28.85141;ok
19:41:33.988;G1 X80.129 Y125.482 E28.91584;ok
19:41:34.043;G1 X78.100 Y124.682 E28.98058;ok
19:41:34.115;G1 X76.184 Y123.642 E29.04532;ok
19:41:34.185;G1 X74.417 Y122.382 E29.10975;ok
19:41:34.379;G1 X71.939 Y120.110 E29.20957;ok
19:41:34.444;G1 X68.773 Y116.601 E29.34990;ok
19:41:34.526;M105;ok T:220.0 /220.0 B:69.9 /70.0 T0:220.0 /220.0 @:40 B@:88
